k,precision_directed,precision_undirected
62,0.06451612903225806,0.06451612903225806
63,0.06349206349206349,0.06349206349206349
64,0.0625,0.0625
65,0.06153846153846154,0.06153846153846154
66,0.06060606060606061,0.06060606060606061
67,0.05970149253731343,0.05970149253731343
68,0.058823529411764705,0.058823529411764705
69,0.057971014492753624,0.057971014492753624
70,0.05714285714285714,0.05714285714285714
71,0.056338028169014086,0.056338028169014086
72,0.05555555555555555,0.05555555555555555
73,0.0547945205479452,0.0547945205479452
74,0.05405405405405406,0.05405405405405406
75,0.05333333333333334,0.05333333333333334
76,0.05263157894736842,0.05263157894736842
77,0.05194805194805195,0.05194805194805195
78,0.05128205128205128,0.05128205128205128
79,0.05063291139240506,0.05063291139240506
80,0.05,0.05
81,0.04938271604938271,0.04938271604938271
82,0.04878048780487805,0.04878048780487805
83,0.04819277108433735,0.04819277108433735
84,0.047619047619047616,0.047619047619047616
85,0.047058823529411764,0.047058823529411764
86,0.046511627906976744,0.046511627906976744
87,0.04597701149425287,0.04597701149425287
88,0.045454545454545456,0.045454545454545456
89,0.0449438202247191,0.0449438202247191
90,0.044444444444444446,0.044444444444444446
91,0.04395604395604396,0.04395604395604396
92,0.043478260869565216,0.043478260869565216
93,0.043010752688172046,0.043010752688172046
94,0.0425531914893617,0.0425531914893617
95,0.042105263157894736,0.042105263157894736
96,0.041666666666666664,0.041666666666666664
97,0.041237113402061855,0.041237113402061855
98,0.04081632653061224,0.04081632653061224
99,0.04040404040404041,0.04040404040404041
100,0.04,0.04
101,0.039603960396039604,0.039603960396039604
102,0.0392156862745098,0.0392156862745098
103,0.038834951456310676,0.038834951456310676
104,0.038461538461538464,0.038461538461538464
105,0.0380952380952381,0.0380952380952381
106,0.03773584905660377,0.03773584905660377
107,0.037383177570093455,0.037383177570093455
108,0.037037037037037035,0.037037037037037035
109,0.03669724770642202,0.03669724770642202
110,0.03636363636363636,0.03636363636363636
111,0.036036036036036036,0.036036036036036036
112,0.03571428571428571,0.03571428571428571
113,0.035398230088495575,0.035398230088495575
114,0.03508771929824561,0.03508771929824561
115,0.034782608695652174,0.034782608695652174
116,0.034482758620689655,0.034482758620689655
117,0.03418803418803419,0.03418803418803419
118,0.03389830508474576,0.03389830508474576
119,0.03361344537815126,0.03361344537815126
120,0.03333333333333333,0.03333333333333333
121,0.03305785123966942,0.03305785123966942
122,0.03278688524590164,0.03278688524590164
123,0.032520325203252036,0.032520325203252036
124,0.03225806451612903,0.03225806451612903
125,0.032,0.032
126,0.031746031746031744,0.031746031746031744
127,0.03937007874015748,0.03937007874015748
128,0.0390625,0.0390625
129,0.03875968992248062,0.03875968992248062
130,0.038461538461538464,0.038461538461538464
131,0.03816793893129771,0.03816793893129771
132,0.03787878787878788,0.03787878787878788
133,0.03759398496240601,0.03759398496240601
134,0.03731343283582089,0.03731343283582089
135,0.037037037037037035,0.037037037037037035
136,0.03676470588235294,0.03676470588235294
137,0.0364963503649635,0.0364963503649635
138,0.036231884057971016,0.036231884057971016
139,0.03597122302158273,0.03597122302158273
140,0.03571428571428571,0.03571428571428571
141,0.03546099290780142,0.03546099290780142
142,0.035211267605633804,0.035211267605633804
143,0.03496503496503497,0.03496503496503497
144,0.034722222222222224,0.034722222222222224
145,0.034482758620689655,0.034482758620689655
146,0.03424657534246575,0.03424657534246575
147,0.034013605442176874,0.034013605442176874
148,0.033783783783783786,0.033783783783783786
149,0.03355704697986577,0.03355704697986577
150,0.03333333333333333,0.03333333333333333
151,0.033112582781456956,0.033112582781456956
152,0.03289473684210526,0.03289473684210526
153,0.032679738562091505,0.032679738562091505
154,0.032467532467532464,0.032467532467532464
155,0.03225806451612903,0.03225806451612903
156,0.03205128205128205,0.03205128205128205
157,0.03184713375796178,0.03184713375796178
158,0.03164556962025317,0.03164556962025317
159,0.031446540880503145,0.031446540880503145
160,0.03125,0.03125
161,0.031055900621118012,0.031055900621118012
162,0.030864197530864196,0.030864197530864196
163,0.03067484662576687,0.03067484662576687
164,0.03048780487804878,0.03048780487804878
165,0.030303030303030304,0.030303030303030304
166,0.030120481927710843,0.030120481927710843
167,0.029940119760479042,0.029940119760479042
168,0.02976190476190476,0.02976190476190476
169,0.029585798816568046,0.029585798816568046
170,0.029411764705882353,0.029411764705882353
171,0.029239766081871343,0.029239766081871343
172,0.029069767441860465,0.029069767441860465
173,0.028901734104046242,0.028901734104046242
174,0.028735632183908046,0.028735632183908046
175,0.02857142857142857,0.02857142857142857
176,0.028409090909090908,0.028409090909090908
177,0.02824858757062147,0.02824858757062147
178,0.028089887640449437,0.028089887640449437
179,0.027932960893854747,0.027932960893854747
180,0.027777777777777776,0.027777777777777776
181,0.027624309392265192,0.027624309392265192
182,0.027472527472527472,0.027472527472527472
183,0.0273224043715847,0.0273224043715847
184,0.02717391304347826,0.02717391304347826
185,0.02702702702702703,0.02702702702702703
186,0.026881720430107527,0.026881720430107527
187,0.026737967914438502,0.026737967914438502
188,0.026595744680851064,0.026595744680851064
189,0.026455026455026454,0.026455026455026454
190,0.02631578947368421,0.02631578947368421
191,0.02617801047120419,0.02617801047120419
192,0.026041666666666668,0.026041666666666668
193,0.025906735751295335,0.025906735751295335
194,0.02577319587628866,0.02577319587628866
195,0.02564102564102564,0.02564102564102564
196,0.025510204081632654,0.025510204081632654
197,0.025380710659898477,0.025380710659898477
198,0.025252525252525252,0.025252525252525252
199,0.02512562814070352,0.02512562814070352
200,0.025,0.025
201,0.024875621890547265,0.024875621890547265
202,0.024752475247524754,0.024752475247524754
203,0.024630541871921183,0.024630541871921183
204,0.024509803921568627,0.024509803921568627
205,0.024390243902439025,0.024390243902439025
